Func Alg Verts Edges Searched_Paths Expanded_Verts
basicLine EK 8 11 5 37
basicLine EK 22 40 17 359
basicLine EK 74 147 51 3022
basicLine EK 274 770 494 123980
basicLine EK 1058 4046 3012 3050844
basicLine FF 8 11 5 30
basicLine FF 22 40 12 136
basicLine FF 74 147 43 995
basicLine FF 274 770 1404 113660
basicLine FF 1058 4046 20372 2815583
basicLine EK 8 10 4 26
basicLine EK 22 40 13 281
basicLine EK 74 143 42 2514
basicLine EK 274 773 453 114340
basicLine EK 1058 4019 3074 3095483
basicLine FF 8 10 3 17
basicLine FF 22 40 12 130
basicLine FF 74 143 31 566
basicLine FF 274 773 1562 120503
basicLine FF 1058 4019 52307 11596990
basicLine EK 8 11 3 27
basicLine EK 22 39 17 332
basicLine EK 74 138 36 2110
basicLine EK 274 772 434 109591
basicLine EK 1058 4037 3083 3118874
basicLine FF 8 11 4 25
basicLine FF 22 39 17 200
basicLine FF 74 138 32 695
basicLine FF 274 772 364 13784
basicLine FF 1058 4037 107368 31478172
basicLine EK 8 9 1 10
basicLine EK 22 39 6 103
basicLine EK 74 143 40 2517
basicLine EK 274 769 318 76499
basicLine EK 1058 4036 3063 3110534
basicLine FF 8 9 1 10
basicLine FF 22 39 6 59
basicLine FF 74 143 32 798
basicLine FF 274 769 1008 74216
basicLine FF 1058 4036 84025 21683699
basicLine EK 8 13 7 57
basicLine EK 22 42 14 236
basicLine EK 74 139 30 1854
basicLine EK 274 769 413 102175
basicLine EK 1058 4040 3122 3177268
basicLine FF 8 13 6 42
basicLine FF 22 42 17 164
basicLine FF 74 139 17 336
basicLine FF 274 769 1255 95989
basicLine FF 1058 4040 251469 76376887
basicLine EK 8 12 3 27
basicLine EK 22 41 10 198
basicLine EK 74 143 29 1980
basicLine EK 274 771 419 106423
basicLine EK 1058 4042 3279 3339493
basicLine FF 8 12 4 29
basicLine FF 22 41 8 80
basicLine FF 74 143 27 524
basicLine FF 274 771 673 46806
basicLine FF 1058 4042 146433 46797664
basicLine EK 8 11 3 29
basicLine EK 22 36 10 182
basicLine EK 74 143 40 2549
basicLine EK 274 770 398 100144
basicLine EK 1058 4047 2784 2803372
basicLine FF 8 11 3 21
basicLine FF 22 36 7 87
basicLine FF 74 143 43 989
basicLine FF 274 770 650 45963
basicLine FF 1058 4047 111285 28254781
basicLine EK 8 11 3 25
basicLine EK 22 40 6 131
basicLine EK 74 142 36 1926
basicLine EK 274 780 489 123882
basicLine EK 1058 4014 2846 2893623
basicLine FF 8 11 3 21
basicLine FF 22 40 3 47
basicLine FF 74 142 35 626
basicLine FF 274 780 1406 108995
basicLine FF 1058 4014 123722 32267622
basicLine EK 8 11 5 40
basicLine EK 22 39 11 197
basicLine EK 74 139 31 1890
basicLine EK 274 783 549 139282
basicLine EK 1058 4036 2993 3038205
basicLine FF 8 11 4 23
basicLine FF 22 39 10 87
basicLine FF 74 139 28 704
basicLine FF 274 783 2085 179306
basicLine FF 1058 4036 172977 57691949
basicLine EK 8 11 4 34
basicLine EK 22 40 10 197
basicLine EK 74 146 51 3245
basicLine EK 274 771 444 109040
basicLine EK 1058 4018 2954 2988848
basicLine FF 8 11 4 27
basicLine FF 22 40 9 97
basicLine FF 74 146 48 1186
basicLine FF 274 771 1439 112219
basicLine FF 1058 4018 97126 25377207
basicLine EK 8 9 3 27
basicLine EK 22 40 16 323
basicLine EK 74 143 32 1729
basicLine EK 274 773 384 95357
basicLine EK 1058 4032 2465 2489344
basicLine FF 8 9 3 24
basicLine FF 22 40 14 159
basicLine FF 74 143 32 655
basicLine FF 274 773 1029 70614
basicLine FF 1058 4032 47677 12811475
basicLine EK 8 12 3 28
basicLine EK 22 37 8 129
basicLine EK 74 144 32 1758
basicLine EK 274 774 276 70473
basicLine EK 1058 4025 2804 2859791
basicLine FF 8 12 3 22
basicLine FF 22 37 4 46
basicLine FF 74 144 34 549
basicLine FF 274 774 706 48703
basicLine FF 1058 4025 84315 24835934
basicLine EK 8 11 3 27
basicLine EK 22 41 10 218
basicLine EK 74 143 42 2569
basicLine EK 274 769 430 108089
basicLine EK 1058 4039 3061 3067931
basicLine FF 8 11 3 20
basicLine FF 22 41 10 119
basicLine FF 74 143 39 932
basicLine FF 274 769 1797 154454
basicLine FF 1058 4039 11247 1236552
basicLine EK 8 12 5 36
basicLine EK 22 40 13 259
basicLine EK 74 143 31 1900
basicLine EK 274 778 437 108239
basicLine EK 1058 4024 2564 2587581
basicLine FF 8 12 5 27
basicLine FF 22 40 11 126
basicLine FF 74 143 28 735
basicLine FF 274 778 569 31884
basicLine FF 1058 4024 103541 31831127
basicLine EK 8 11 4 29
basicLine EK 22 41 18 385
basicLine EK 74 143 37 2139
basicLine EK 274 776 517 129885
basicLine EK 1058 4032 3514 3592497
basicLine FF 8 11 4 25
basicLine FF 22 41 13 131
basicLine FF 74 143 32 575
basicLine FF 274 776 1769 159444
basicLine FF 1058 4032 233768 70876441
basicLine EK 8 10 4 35
basicLine EK 22 38 14 302
basicLine EK 74 149 45 2632
basicLine EK 274 781 505 125689
basicLine EK 1058 4030 3071 3118925
basicLine FF 8 10 4 26
basicLine FF 22 38 12 135
basicLine FF 74 149 36 621
basicLine FF 274 781 789 42360
basicLine FF 1058 4030 209594 61638361
basicLine EK 8 12 3 27
basicLine EK 22 36 7 142
basicLine EK 74 138 37 2105
basicLine EK 274 760 362 90559
basicLine EK 1058 4058 3811 3876849
basicLine FF 8 12 3 19
basicLine FF 22 36 8 105
basicLine FF 74 138 39 944
basicLine FF 274 760 1069 79902
basicLine FF 1058 4058 320638 104659125
basicLine EK 8 11 4 31
basicLine EK 22 41 7 138
basicLine EK 74 140 33 1855
basicLine EK 274 762 310 76904
basicLine EK 1058 4037 3033 3069974
basicLine FF 8 11 4 26
basicLine FF 22 41 4 39
basicLine FF 74 140 34 881
basicLine FF 274 762 482 29363
basicLine FF 1058 4037 21678 3128678
basicLine EK 8 11 3 24
basicLine EK 22 42 12 271
basicLine EK 74 142 27 1663
basicLine EK 274 776 460 115799
basicLine EK 1058 4040 2978 3010562
basicLine FF 8 11 3 19
basicLine FF 22 42 13 139
basicLine FF 74 142 32 738
basicLine FF 274 776 1154 94276
basicLine FF 1058 4040 143044 40523354
basicLine EK 8 11 3 24
basicLine EK 22 40 14 320
basicLine EK 74 143 24 1257
basicLine EK 274 775 414 102181
basicLine EK 1058 4027 2978 2992637
basicLine FF 8 11 3 19
basicLine FF 22 40 11 117
basicLine FF 74 143 24 456
basicLine FF 274 775 1113 88424
basicLine FF 1058 4027 298260 87445226
basicLine EK 8 10 4 28
basicLine EK 22 39 8 183
basicLine EK 74 141 28 1678
basicLine EK 274 775 377 91234
basicLine EK 1058 4033 3018 3035486
basicLine FF 8 10 4 23
basicLine FF 22 39 6 80
basicLine FF 74 141 27 622
basicLine FF 274 775 634 40967
basicLine FF 1058 4033 73147 19484200
basicLine EK 8 11 3 21
basicLine EK 22 40 8 158
basicLine EK 74 144 37 2357
basicLine EK 274 778 373 91140
basicLine EK 1058 4025 3048 3097508
basicLine FF 8 11 3 18
basicLine FF 22 40 6 74
basicLine FF 74 144 34 752
basicLine FF 274 778 1084 69420
basicLine FF 1058 4025 44551 7271904
basicLine EK 8 11 4 29
basicLine EK 22 39 10 209
basicLine EK 74 146 52 3188
basicLine EK 274 768 325 82445
basicLine EK 1058 4024 3070 3104130
basicLine FF 8 11 4 22
basicLine FF 22 39 12 151
basicLine FF 74 146 32 623
basicLine FF 274 768 973 63459
basicLine FF 1058 4024 186236 56070364
basicLine EK 8 10 0 5
basicLine EK 22 39 9 162
basicLine EK 74 142 44 2922
basicLine EK 274 768 311 74619
basicLine EK 1058 4033 3207 3237646
basicLine FF 8 10 0 5
basicLine FF 22 39 9 78
basicLine FF 74 142 48 1333
basicLine FF 274 768 547 30765
basicLine FF 1058 4033 77183 23802340
basicLine EK 8 12 3 28
basicLine EK 22 41 11 215
basicLine EK 74 145 35 2089
basicLine EK 274 773 334 83975
basicLine EK 1058 4025 2943 2960597
basicLine FF 8 12 3 20
basicLine FF 22 41 9 107
basicLine FF 74 145 22 496
basicLine FF 274 773 724 49283
basicLine FF 1058 4025 146706 42993067
basicLine EK 8 10 3 26
basicLine EK 22 38 10 188
basicLine EK 74 143 49 2994
basicLine EK 274 776 346 86738
basicLine EK 1058 4028 3296 3329389
basicLine FF 8 10 3 22
basicLine FF 22 38 9 84
basicLine FF 74 143 46 1041
basicLine FF 274 776 958 66523
basicLine FF 1058 4028 75911 13563827
basicLine EK 8 10 4 27
basicLine EK 22 40 10 213
basicLine EK 74 146 62 4111
basicLine EK 274 780 425 102879
basicLine EK 1058 4036 2795 2834499
basicLine FF 8 10 4 22
basicLine FF 22 40 8 93
basicLine FF 74 146 66 1866
basicLine FF 274 780 1118 91641
basicLine FF 1058 4036 78141 22872128
basicLine EK 8 11 4 31
basicLine EK 22 38 9 165
basicLine EK 74 142 38 2581
basicLine EK 274 767 345 84090
basicLine EK 1058 4028 3073 3102142
basicLine FF 8 11 4 23
basicLine FF 22 38 10 117
basicLine FF 74 142 53 1428
basicLine FF 274 767 1049 82926
basicLine FF 1058 4028 162392 57509571
basicLine EK 8 10 3 28
basicLine EK 22 36 8 165
basicLine EK 74 140 52 3175
basicLine EK 274 773 512 129261
basicLine EK 1058 4049 3034 3083839
basicLine FF 8 10 3 21
basicLine FF 22 36 7 81
basicLine FF 74 140 42 882
basicLine FF 274 773 903 65590
basicLine FF 1058 4049 133573 38737291
